selector,candidate,domain,experiment,fraction,alpha,norm_cap,U,ci_low,ci_high,regret,regret_ci_low,regret_ci_high,equivalence_set,model_fingerprint
fixed_front,0,observed,E1,0.01,1.0,,0.28874999999999973,0.1470416666666669,0.4162604166666668,0.0,0.0,0.06500000000000007,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, ""none""]",274f49f21a03df6f7da7f330fed2fe31ff1b6bdd1be8fc9ce8088bf297fdd4e6
fixed_middle,6,observed,E1,0.01,1.0,,0.2595833333333333,0.1533333333333334,0.35958333333333287,0.029166666666666452,0.0,0.10292708333333342,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, ""none""]",274f49f21a03df6f7da7f330fed2fe31ff1b6bdd1be8fc9ce8088bf297fdd4e6
fixed_back,11,observed,E1,0.01,1.0,,0.20708333333333329,0.12749999999999995,0.28291666666666676,0.08166666666666644,0.02583333333333351,0.18084375000000055,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, ""none""]",274f49f21a03df6f7da7f330fed2fe31ff1b6bdd1be8fc9ce8088bf297fdd4e6
random,10,observed,E1,0.01,1.0,,0.23250000000000007,0.1516354166666666,0.31047916666666664,0.05624999999999966,0.001645833333333391,0.15043750000000092,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, ""none""]",274f49f21a03df6f7da7f330fed2fe31ff1b6bdd1be8fc9ce8088bf297fdd4e6
val_sweep,9,observed,E1,0.01,1.0,,0.2575,0.16413541666666667,0.3425104166666669,0.031249999999999722,0.0,0.11878125000000042,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, ""none""]",274f49f21a03df6f7da7f330fed2fe31ff1b6bdd1be8fc9ce8088bf297fdd4e6
small_search,6,observed,E1,0.01,1.0,,0.2595833333333333,0.1533333333333334,0.35958333333333287,0.029166666666666452,0.0,0.10292708333333342,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, ""none""]",274f49f21a03df6f7da7f330fed2fe31ff1b6bdd1be8fc9ce8088bf297fdd4e6
amplification_ratio/cls,0,observed,E1,0.01,1.0,,0.28874999999999973,0.1470416666666669,0.4162604166666668,0.0,0.0,0.06500000000000007,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, ""none""]",274f49f21a03df6f7da7f330fed2fe31ff1b6bdd1be8fc9ce8088bf297fdd4e6
amplification_ratio/patch_mean,9,observed,E1,0.01,1.0,,0.2575,0.16413541666666667,0.3425104166666669,0.031249999999999722,0.0,0.11878125000000042,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, ""none""]",274f49f21a03df6f7da7f330fed2fe31ff1b6bdd1be8fc9ce8088bf297fdd4e6
cosine_distance/cls,11,observed,E1,0.01,1.0,,0.20708333333333329,0.12749999999999995,0.28291666666666676,0.08166666666666644,0.02583333333333351,0.18084375000000055,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, ""none""]",274f49f21a03df6f7da7f330fed2fe31ff1b6bdd1be8fc9ce8088bf297fdd4e6
cosine_distance/patch_mean,11,observed,E1,0.01,1.0,,0.20708333333333329,0.12749999999999995,0.28291666666666676,0.08166666666666644,0.02583333333333351,0.18084375000000055,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, ""none""]",274f49f21a03df6f7da7f330fed2fe31ff1b6bdd1be8fc9ce8088bf297fdd4e6
knn_preservation/cls,11,observed,E1,0.01,1.0,,0.20708333333333329,0.12749999999999995,0.28291666666666676,0.08166666666666644,0.02583333333333351,0.18084375000000055,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, ""none""]",274f49f21a03df6f7da7f330fed2fe31ff1b6bdd1be8fc9ce8088bf297fdd4e6
knn_preservation/patch_mean,11,observed,E1,0.01,1.0,,0.20708333333333329,0.12749999999999995,0.28291666666666676,0.08166666666666644,0.02583333333333351,0.18084375000000055,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, ""none""]",274f49f21a03df6f7da7f330fed2fe31ff1b6bdd1be8fc9ce8088bf297fdd4e6
one_minus_cka/cls,11,observed,E1,0.01,1.0,,0.20708333333333329,0.12749999999999995,0.28291666666666676,0.08166666666666644,0.02583333333333351,0.18084375000000055,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, ""none""]",274f49f21a03df6f7da7f330fed2fe31ff1b6bdd1be8fc9ce8088bf297fdd4e6
