selector,candidate,domain,experiment,fraction,alpha,norm_cap,U,ci_low,ci_high,regret,regret_ci_low,regret_ci_high,equivalence_set,model_fingerprint
fixed_front,0,unseen,E1,0.01,1.0,,-0.03791666666666673,-0.17459374999999958,0.09208333333333314,0.24375000000000022,0.16249999999999992,0.3612812499999997,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, ""none""]",274f49f21a03df6f7da7f330fed2fe31ff1b6bdd1be8fc9ce8088bf297fdd4e6
fixed_middle,6,unseen,E1,0.01,1.0,,0.1970833333333336,0.10247916666666669,0.2950312499999997,0.008749999999999869,0.0,0.06127083333333312,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, ""none""]",274f49f21a03df6f7da7f330fed2fe31ff1b6bdd1be8fc9ce8088bf297fdd4e6
fixed_back,11,unseen,E1,0.01,1.0,,0.1912499999999999,0.1162395833333333,0.26754166666666657,0.014583333333333587,0.0,0.06667708333333355,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, ""none""]",274f49f21a03df6f7da7f330fed2fe31ff1b6bdd1be8fc9ce8088bf297fdd4e6
random,10,unseen,E1,0.01,1.0,,0.20583333333333348,0.12665625,0.28718749999999993,0.0,0.0,0.05041666666666612,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, ""none""]",274f49f21a03df6f7da7f330fed2fe31ff1b6bdd1be8fc9ce8088bf297fdd4e6
val_sweep,9,unseen,E1,0.01,1.0,,0.2045833333333333,0.12496875000000011,0.2887604166666665,0.0012500000000001676,0.0,0.04628125000000033,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, ""none""]",274f49f21a03df6f7da7f330fed2fe31ff1b6bdd1be8fc9ce8088bf297fdd4e6
small_search,6,unseen,E1,0.01,1.0,,0.1970833333333336,0.10247916666666669,0.2950312499999997,0.008749999999999869,0.0,0.06127083333333312,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, ""none""]",274f49f21a03df6f7da7f330fed2fe31ff1b6bdd1be8fc9ce8088bf297fdd4e6
amplification_ratio/cls,0,unseen,E1,0.01,1.0,,-0.03791666666666673,-0.17459374999999958,0.09208333333333314,0.24375000000000022,0.16249999999999992,0.3612812499999997,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, ""none""]",274f49f21a03df6f7da7f330fed2fe31ff1b6bdd1be8fc9ce8088bf297fdd4e6
amplification_ratio/patch_mean,9,unseen,E1,0.01,1.0,,0.2045833333333333,0.12496875000000011,0.2887604166666665,0.0012500000000001676,0.0,0.04628125000000033,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, ""none""]",274f49f21a03df6f7da7f330fed2fe31ff1b6bdd1be8fc9ce8088bf297fdd4e6
cosine_distance/cls,11,unseen,E1,0.01,1.0,,0.1912499999999999,0.1162395833333333,0.26754166666666657,0.014583333333333587,0.0,0.06667708333333355,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, ""none""]",274f49f21a03df6f7da7f330fed2fe31ff1b6bdd1be8fc9ce8088bf297fdd4e6
cosine_distance/patch_mean,11,unseen,E1,0.01,1.0,,0.1912499999999999,0.1162395833333333,0.26754166666666657,0.014583333333333587,0.0,0.06667708333333355,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, ""none""]",274f49f21a03df6f7da7f330fed2fe31ff1b6bdd1be8fc9ce8088bf297fdd4e6
