forward_flops_per_image,backward_flops_per_image,adapter_forward_flops_per_image,block_forward_flops,wall_time_seconds,updates,images_seen,input_views_seen,estimated_training_flops,training_compute,extra_params,profiling_forward_flops,peak_memory_bytes,precision,layer_id,width,training_seed,selection_cost,reference_total_compute,model_fingerprint
9217281792,8354198400,10061184,"[757539072, 757539072, 757539072, 757539072, 757539072, 757539072, 757539072, 757539072, 757539072, 757539072, 757539072, 757539072]",1084.8612433047965,1000,127680,255360,4487053181829120,4487053181829120,25760,9207220608,9424534528,float32,0,32,0,0,41077256471838720,274f49f21a03df6f7da7f330fed2fe31ff1b6bdd1be8fc9ce8088bf297fdd4e6
9217281792,7596659328,10061184,"[757539072, 757539072, 757539072, 757539072, 757539072, 757539072, 757539072, 757539072, 757539072, 757539072, 757539072, 757539072]",1020.8208067622036,1000,127680,255360,4293608004403200,4293608004403200,25760,9207220608,8646294528,float32,1,32,0,0,41077256471838720,274f49f21a03df6f7da7f330fed2fe31ff1b6bdd1be8fc9ce8088bf297fdd4e6
9217281792,6839120256,10061184,"[757539072, 757539072, 757539072, 757539072, 757539072, 757539072, 757539072, 757539072, 757539072, 757539072, 757539072, 757539072]",972.6931808637455,1000,127680,255360,4100162826977280,4100162826977280,25760,9207220608,7868427264,float32,2,32,0,0,41077256471838720,274f49f21a03df6f7da7f330fed2fe31ff1b6bdd1be8fc9ce8088bf297fdd4e6
9217281792,6081581184,10061184,"[757539072, 757539072, 757539072, 757539072, 757539072, 757539072, 757539072, 757539072, 757539072, 757539072, 757539072, 757539072]",920.5090933023021,1000,127680,255360,3906717649551360,3906717649551360,25760,9207220608,7090560000,float32,3,32,0,0,41077256471838720,274f49f21a03df6f7da7f330fed2fe31ff1b6bdd1be8fc9ce8088bf297fdd4e6
9217281792,5324042112,10061184,"[757539072, 757539072, 757539072, 757539072, 757539072, 757539072, 757539072, 757539072, 757539072, 757539072, 757539072, 757539072]",871.1661139987409,1000,127680,255360,3713272472125440,3713272472125440,25760,9207220608,6312692736,float32,4,32,0,0,41077256471838720,274f49f21a03df6f7da7f330fed2fe31ff1b6bdd1be8fc9ce8088bf297fdd4e6
9217281792,4566503040,10061184,"[757539072, 757539072, 757539072, 757539072, 757539072, 757539072, 757539072, 757539072, 757539072, 757539072, 757539072, 757539072]",817.5024301996455,1000,127680,255360,3519827294699520,3519827294699520,25760,9207220608,5534825472,float32,5,32,0,0,41077256471838720,274f49f21a03df6f7da7f330fed2fe31ff1b6bdd1be8fc9ce8088bf297fdd4e6
9217281792,3808963968,10061184,"[757539072, 757539072, 757539072, 757539072, 757539072, 757539072, 757539072, 757539072, 757539072, 757539072, 757539072, 757539072]",768.3808851679787,1000,127680,255360,3326382117273600,3326382117273600,25760,9207220608,4756958208,float32,6,32,0,0,41077256471838720,274f49f21a03df6f7da7f330fed2fe31ff1b6bdd1be8fc9ce8088bf297fdd4e6
9217281792,3051424896,10061184,"[757539072, 757539072, 757539072, 757539072, 757539072, 757539072, 757539072, 757539072, 757539072, 757539072, 757539072, 757539072]",709.0240298183635,1000,127680,255360,3132936939847680,3132936939847680,25760,9207220608,3979090944,float32,7,32,0,0,41077256471838720,274f49f21a03df6f7da7f330fed2fe31ff1b6bdd1be8fc9ce8088bf297fdd4e6
9217281792,2293885824,10061184,"[757539072, 757539072, 757539072, 757539072, 757539072, 757539072, 757539072, 757539072, 757539072, 757539072, 757539072, 757539072]",665.080534491688,1000,127680,255360,2939491762421760,2939491762421760,25760,9207220608,3201223680,float32,8,32,0,0,41077256471838720,274f49f21a03df6f7da7f330fed2fe31ff1b6bdd1be8fc9ce8088bf297fdd4e6
9217281792,1536346752,10061184,"[757539072, 757539072, 757539072, 757539072, 757539072, 757539072, 757539072, 757539072, 757539072, 757539072, 757539072, 757539072]",611.3883602647111,1000,127680,255360,2746046584995840,2746046584995840,25760,9207220608,2423356416,float32,9,32,0,0,41077256471838720,274f49f21a03df6f7da7f330fed2fe31ff1b6bdd1be8fc9ce8088bf297fdd4e6
9217281792,778807680,10061184,"[757539072, 757539072, 757539072, 757539072, 757539072, 757539072, 757539072, 757539072, 757539072, 757539072, 757539072, 757539072]",554.1986464224756,1000,127680,255360,2552601407569920,2552601407569920,25760,9207220608,1645489152,float32,10,32,0,0,41077256471838720,274f49f21a03df6f7da7f330fed2fe31ff1b6bdd1be8fc9ce8088bf297fdd4e6
9217281792,21268608,10061184,"[757539072, 757539072, 757539072, 757539072, 757539072, 757539072, 757539072, 757539072, 757539072, 757539072, 757539072, 757539072]",509.93981805443764,1000,127680,255360,2359156230144000,2359156230144000,25760,9207220608,900220416,float32,11,32,0,0,41077256471838720,274f49f21a03df6f7da7f330fed2fe31ff1b6bdd1be8fc9ce8088bf297fdd4e6
