layer,metric_name,score,n_samples,summary_mode,label_access,corruption,severity,split,is_observed,model_fingerprint
0,relative_distance,0.012447606909117401,2000,cls,none,gaussian_noise,1,score,True,274f49f21a03df6f7da7f330fed2fe31ff1b6bdd1be8fc9ce8088bf297fdd4e6
0,cosine_distance,8.256379945412091e-05,2000,cls,none,gaussian_noise,1,score,True,274f49f21a03df6f7da7f330fed2fe31ff1b6bdd1be8fc9ce8088bf297fdd4e6
0,one_minus_cka,0.008339389986021017,2000,cls,none,gaussian_noise,1,score,True,274f49f21a03df6f7da7f330fed2fe31ff1b6bdd1be8fc9ce8088bf297fdd4e6
0,amplification_ratio,1.0,2000,cls,none,gaussian_noise,1,score,True,274f49f21a03df6f7da7f330fed2fe31ff1b6bdd1be8fc9ce8088bf297fdd4e6
0,knn_preservation,0.5133179889855587,2000,cls,none,gaussian_noise,1,score,True,274f49f21a03df6f7da7f330fed2fe31ff1b6bdd1be8fc9ce8088bf297fdd4e6
0,relative_distance,0.44677207382355355,2000,patch_mean,none,gaussian_noise,1,score,True,274f49f21a03df6f7da7f330fed2fe31ff1b6bdd1be8fc9ce8088bf297fdd4e6
0,cosine_distance,0.10929724411249947,2000,patch_mean,none,gaussian_noise,1,score,True,274f49f21a03df6f7da7f330fed2fe31ff1b6bdd1be8fc9ce8088bf297fdd4e6
0,one_minus_cka,0.1130957111367259,2000,patch_mean,none,gaussian_noise,1,score,True,274f49f21a03df6f7da7f330fed2fe31ff1b6bdd1be8fc9ce8088bf297fdd4e6
0,amplification_ratio,1.0,2000,patch_mean,none,gaussian_noise,1,score,True,274f49f21a03df6f7da7f330fed2fe31ff1b6bdd1be8fc9ce8088bf297fdd4e6
0,knn_preservation,0.431939408931282,2000,patch_mean,none,gaussian_noise,1,score,True,274f49f21a03df6f7da7f330fed2fe31ff1b6bdd1be8fc9ce8088bf297fdd4e6
1,relative_distance,0.04195976102088917,2000,cls,none,gaussian_noise,1,score,True,274f49f21a03df6f7da7f330fed2fe31ff1b6bdd1be8fc9ce8088bf297fdd4e6
1,cosine_distance,0.0009618277219499752,2000,cls,none,gaussian_noise,1,score,True,274f49f21a03df6f7da7f330fed2fe31ff1b6bdd1be8fc9ce8088bf297fdd4e6
1,one_minus_cka,0.0959765016237698,2000,cls,none,gaussian_noise,1,score,True,274f49f21a03df6f7da7f330fed2fe31ff1b6bdd1be8fc9ce8088bf297fdd4e6
1,amplification_ratio,3.3709098726563442,2000,cls,none,gaussian_noise,1,score,True,274f49f21a03df6f7da7f330fed2fe31ff1b6bdd1be8fc9ce8088bf297fdd4e6
1,knn_preservation,0.4180718061608154,2000,cls,none,gaussian_noise,1,score,True,274f49f21a03df6f7da7f330fed2fe31ff1b6bdd1be8fc9ce8088bf297fdd4e6
