layer_id,fraction,n_images,max_abs_diff,cache_dtype,model_fingerprint
0,0.01,64,8.344650268554688e-06,torch.float32,274f49f21a03df6f7da7f330fed2fe31ff1b6bdd1be8fc9ce8088bf297fdd4e6
0,0.05,64,6.198883056640625e-06,torch.float32,274f49f21a03df6f7da7f330fed2fe31ff1b6bdd1be8fc9ce8088bf297fdd4e6
0,0.1,64,7.867813110351562e-06,torch.float32,274f49f21a03df6f7da7f330fed2fe31ff1b6bdd1be8fc9ce8088bf297fdd4e6
0,0.2,64,1.1205673217773438e-05,torch.float32,274f49f21a03df6f7da7f330fed2fe31ff1b6bdd1be8fc9ce8088bf297fdd4e6
1,0.01,64,6.377696990966797e-06,torch.float32,274f49f21a03df6f7da7f330fed2fe31ff1b6bdd1be8fc9ce8088bf297fdd4e6
1,0.05,64,1.055002212524414e-05,torch.float32,274f49f21a03df6f7da7f330fed2fe31ff1b6bdd1be8fc9ce8088bf297fdd4e6
1,0.1,64,6.4373016357421875e-06,torch.float32,274f49f21a03df6f7da7f330fed2fe31ff1b6bdd1be8fc9ce8088bf297fdd4e6
1,0.2,64,8.58306884765625e-06,torch.float32,274f49f21a03df6f7da7f330fed2fe31ff1b6bdd1be8fc9ce8088bf297fdd4e6
2,0.01,64,5.245208740234375e-06,torch.float32,274f49f21a03df6f7da7f330fed2fe31ff1b6bdd1be8fc9ce8088bf297fdd4e6
2,0.05,64,5.7220458984375e-06,torch.float32,274f49f21a03df6f7da7f330fed2fe31ff1b6bdd1be8fc9ce8088bf297fdd4e6
2,0.1,64,5.4836273193359375e-06,torch.float32,274f49f21a03df6f7da7f330fed2fe31ff1b6bdd1be8fc9ce8088bf297fdd4e6
2,0.2,64,6.198883056640625e-06,torch.float32,274f49f21a03df6f7da7f330fed2fe31ff1b6bdd1be8fc9ce8088bf297fdd4e6
3,0.01,64,6.198883056640625e-06,torch.float32,274f49f21a03df6f7da7f330fed2fe31ff1b6bdd1be8fc9ce8088bf297fdd4e6
3,0.05,64,5.0067901611328125e-06,torch.float32,274f49f21a03df6f7da7f330fed2fe31ff1b6bdd1be8fc9ce8088bf297fdd4e6
3,0.1,64,7.62939453125e-06,torch.float32,274f49f21a03df6f7da7f330fed2fe31ff1b6bdd1be8fc9ce8088bf297fdd4e6
3,0.2,64,7.152557373046875e-06,torch.float32,274f49f21a03df6f7da7f330fed2fe31ff1b6bdd1be8fc9ce8088bf297fdd4e6
4,0.01,64,4.0531158447265625e-06,torch.float32,274f49f21a03df6f7da7f330fed2fe31ff1b6bdd1be8fc9ce8088bf297fdd4e6
4,0.05,64,4.76837158203125e-06,torch.float32,274f49f21a03df6f7da7f330fed2fe31ff1b6bdd1be8fc9ce8088bf297fdd4e6
4,0.1,64,5.602836608886719e-06,torch.float32,274f49f21a03df6f7da7f330fed2fe31ff1b6bdd1be8fc9ce8088bf297fdd4e6
4,0.2,64,5.7220458984375e-06,torch.float32,274f49f21a03df6f7da7f330fed2fe31ff1b6bdd1be8fc9ce8088bf297fdd4e6
5,0.01,64,5.7220458984375e-06,torch.float32,274f49f21a03df6f7da7f330fed2fe31ff1b6bdd1be8fc9ce8088bf297fdd4e6
5,0.05,64,4.76837158203125e-06,torch.float32,274f49f21a03df6f7da7f330fed2fe31ff1b6bdd1be8fc9ce8088bf297fdd4e6
5,0.1,64,5.7220458984375e-06,torch.float32,274f49f21a03df6f7da7f330fed2fe31ff1b6bdd1be8fc9ce8088bf297fdd4e6
5,0.2,64,5.9604644775390625e-06,torch.float32,274f49f21a03df6f7da7f330fed2fe31ff1b6bdd1be8fc9ce8088bf297fdd4e6
6,0.01,64,3.814697265625e-06,torch.float32,274f49f21a03df6f7da7f330fed2fe31ff1b6bdd1be8fc9ce8088bf297fdd4e6
6,0.05,64,3.814697265625e-06,torch.float32,274f49f21a03df6f7da7f330fed2fe31ff1b6bdd1be8fc9ce8088bf297fdd4e6
6,0.1,64,5.245208740234375e-06,torch.float32,274f49f21a03df6f7da7f330fed2fe31ff1b6bdd1be8fc9ce8088bf297fdd4e6
6,0.2,64,5.7220458984375e-06,torch.float32,274f49f21a03df6f7da7f330fed2fe31ff1b6bdd1be8fc9ce8088bf297fdd4e6
7,0.01,64,2.86102294921875e-06,torch.float32,274f49f21a03df6f7da7f330fed2fe31ff1b6bdd1be8fc9ce8088bf297fdd4e6
7,0.05,64,3.5762786865234375e-06,torch.float32,274f49f21a03df6f7da7f330fed2fe31ff1b6bdd1be8fc9ce8088bf297fdd4e6
7,0.1,64,4.291534423828125e-06,torch.float32,274f49f21a03df6f7da7f330fed2fe31ff1b6bdd1be8fc9ce8088bf297fdd4e6
7,0.2,64,5.27501106262207e-06,torch.float32,274f49f21a03df6f7da7f330fed2fe31ff1b6bdd1be8fc9ce8088bf297fdd4e6
8,0.01,64,2.6226043701171875e-06,torch.float32,274f49f21a03df6f7da7f330fed2fe31ff1b6bdd1be8fc9ce8088bf297fdd4e6
8,0.05,64,2.86102294921875e-06,torch.float32,274f49f21a03df6f7da7f330fed2fe31ff1b6bdd1be8fc9ce8088bf297fdd4e6
8,0.1,64,3.337860107421875e-06,torch.float32,274f49f21a03df6f7da7f330fed2fe31ff1b6bdd1be8fc9ce8088bf297fdd4e6
